dialect,wer,cer,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SG,128.57142857142858,25.0,Abgestufte Inanspruchnahme von Betriebsmitteln regelt die Zugriffskontrolle.,Abegstruf di in Anspruchnahm für Betriebsmittel reglet zur Griffskontrolle.,7,0,2,"REF:  *********  **  abgestufte  inanspruchnahme  von  betriebsmitteln  regelt  die  zugriffskontrolle.
HYP:  abegstruf  di  in          anspruchnahm     für  betriebsmittel   reglet  zur  griffskontrolle.  
TYPE: I          I   S           S                S    S                S       S    S                 "
SO,125.0,56.94444444444444,"Zunächst wurden gemietete Geschäftsräume in Berlin-Mitte, Potsdamer Str.",Zust sind Kmeeteti Gshaftsrim in Berlin mitt der Potsdamer Strasse kmeetet wurde.,6,0,4,"REF:  zunächst  wurden  gemietete  geschäftsräume  in  ******  ****  berlin-mitte,  potsdamer  *******  *******  str.  
HYP:  zust      sind    kmeeteti   gshaftsrim      in  berlin  mitt  der            potsdamer  strasse  kmeetet  wurde.
TYPE: S         S       S          S               C   I       I     S              C          I        I        S     "
ZG,125.0,39.39393939393939,Von anderen Seiten werden noch niedrigere Wachstumsraten erwartet.,Vor der andere Sitte war der Moti für i Wachstumsrat erwartet.,7,0,3,"REF:  ***  ***  ******  von    anderen  seiten  werden  noch  niedrigere  wachstumsraten  erwartet.
HYP:  vor  der  andere  sitte  war      der     moti    für   i           wachstumsrat    erwartet.
TYPE: I    I    I       S      S        S       S       S     S           S               C        "
LU,122.22222222222223,48.275862068965516,"Fünf Angreifer wurden von Sicherheitskräften getötet, vier Sturmgewehre sichergestellt.","Fi Fargrifer simvo der Sicherheitskräft tötet wurde, vier Stormquer sind sichergestaut wurde.",8,0,3,"REF:  **  fünf       angreifer  wurden  von               sicherheitskräften  getötet,  vier  *********  ****  sturmgewehre   sichergestellt.
HYP:  fi  fargrifer  simvo      der     sicherheitskräft  tötet               wurde,    vier  stormquer  sind  sichergestaut  wurde.         
TYPE: I   S          S          S       S                 S                   S         C     I          I     S              S              "
BE,120.0,45.45454545454545,Linssen wuchs in Wachtendonk auf.,Sissen ish ihr wachten donk ufgache.,5,0,1,"REF:  ******  linssen  wuchs  in       wachtendonk  auf.    
HYP:  sissen  ish      ihr    wachten  donk         ufgache.
TYPE: I       S        S      S        S            S       "
BE,120.0,30.434782608695656,"Das Schicksal führt das heimatlose Ex-Bunny ins Haus der ""Zeta-Alpha-Zeta-""Schwesternschaft.",SSchicksau führt Zeimatlose Ex Buny it Hus vor Seta Alfa Ceta Schlösterschaft.,10,0,2,"REF:  **********  *****  das         schicksal  führt  das  heimatlose  ex-bunny  ins   haus  der   ""zeta-alpha-zeta-""schwesternschaft.
HYP:  sschicksau  führt  zeimatlose  ex         buny   it   hus         vor       seta  alfa  ceta  schlösterschaft.                   
TYPE: I           I      S           S          S      S    S           S         S     S     S     S                                  "
ZH,116.66666666666667,33.33333333333333,Landsberg-Velen war promovierter Jurist und Rittergutsbesitzer.,De Landsberg Wehlen icen promovierter Jurist und den Ritterguets Psizirxi.,3,0,4,"REF:  **  *********  landsberg-velen  war   promovierter  jurist  und  ***  ***********  rittergutsbesitzer.
HYP:  de  landsberg  wehlen           icen  promovierter  jurist  und  den  ritterguets  psizirxi.          
TYPE: I   I          S                S     C             C       C    I    I            S                  "
ZG,114.28571428571428,52.63157894736842,Orson Welles verbrachte seine Flitterwochen im Algonquin.,Der Orson Wells hat sienie Flitterwoche in Algonqueen verbracht.,6,0,2,"REF:  ***  orson  *****  welles  verbrachte  seine         flitterwochen  im          algonquin.
HYP:  der  orson  wells  hat     sienie      flitterwoche  in             algonqueen  verbracht.
TYPE: I    C      I      S       S           S             S              S           S         "
SG,112.5,44.827586206896555,Die heute U-förmige Anlage entstand in mehreren Bauphasen.,Diehyt U Förmig Aalag is i mehrere Bauphase entstande.,8,0,1,"REF:  ******  die  heute   u-förmige  anlage  entstand  in       mehreren  bauphasen.
HYP:  diehyt  u    förmig  aalag      is      i         mehrere  bauphase  entstande.
TYPE: I       S    S       S          S       S         S        S         S         "
BE,111.11111111111111,68.25396825396825,Nebenbei verdiente er sich mit seinem Gitarrenspiel etwas dazu.,Nababi hat Arstach mit zim Gitarishpua bis ter Zur verdinet.,9,0,1,"REF:  ******  nebenbei  verdiente  er   sich  mit          seinem  gitarrenspiel  etwas  dazu.    
HYP:  nababi  hat       arstach    mit  zim   gitarishpua  bis     ter            zur    verdinet.
TYPE: I       S         S          S    S     S            S       S              S      S        "
SZ,111.11111111111111,52.38095238095239,Einige der besten Blues-Musiker ihrer Zeit spielten in Atlanta.,Espar fo der beste BluesMusiker vor ihre Rezit hand in Atlantok spielt.,7,0,3,"REF:  *****  einige  der  *****  besten        blues-musiker  ihrer  zeit   spielten  in  ********  atlanta.
HYP:  espar  fo      der  beste  bluesmusiker  vor            ihre   rezit  hand      in  atlantok  spielt. 
TYPE: I      S       C    I      S             S              S      S      S         C   I         S       "
SO,108.33333333333333,62.35294117647059,"Pfostenlöcher am Südtor lassen annehmen, dass er mit einer Holzbrücke überspannt war.",Auf Grund vor der Fostellöcheram Süddor kam Ana das Dete an Holsbrocoküberspannt xiih.,12,0,1,"REF:  ***  pfostenlöcher  am   südtor  lassen          annehmen,  dass  er   mit  einer  holzbrücke  überspannt            war. 
HYP:  auf  grund          vor  der     fostellöcheram  süddor     kam   ana  das  dete   an          holsbrocoküberspannt  xiih.
TYPE: I    S              S    S       S               S          S     S    S    S      S           S                     S    "
ZG,107.6923076923077,32.743362831858406,Auf dem ursprünglichen Schallplattencover wurde der Name von Ozzy Osbourne fälschlicherweise „Ossie“ geschrieben.,Ufm ursprüngliche Shalld Blotter Cover ist der Name vom Osee Osburne falschlicher wies Osi geschrieben wurde.,11,0,3,"REF:  ***  auf            dem     ursprünglichen  schallplattencover  wurde  der  name  ***  ****  von      ozzy          osbourne  fälschlicherweise  „ossie“      geschrieben.
HYP:  ufm  ursprüngliche  shalld  blotter         cover               ist    der  name  vom  osee  osburne  falschlicher  wies      osi                geschrieben  wurde.      
TYPE: I    S              S       S               S                   S      C    C     I    I     S        S             S         S                  S            S           "
BE,107.14285714285714,41.584158415841586,Auch in der Auseinandersetzung um Johannes Chrysostomos folgte Honorius eher ihrem als Stilichos Rat.,Oh ieder auseinandersetzig oner Johannes Crisostamos ist er holorios ein der Eren asemystilikos imrat Kokt.,14,0,1,"REF:  **  auch   in                 der   auseinandersetzung  um           johannes  chrysostomos  folgte    honorius  eher  ihrem  als            stilichos  rat. 
HYP:  oh  ieder  auseinandersetzig  oner  johannes            crisostamos  ist       er            holorios  ein       der   eren   asemystilikos  imrat      kokt.
TYPE: I   S      S                  S     S                   S            S         S             S         S         S     S      S              S          S    "
BE,100.0,28.71287128712871,Damit ergeben sich die Elemente einer Verfassung für eine europäische Föderation der Nationalstaaten.,Mit dem ergab er secht Element vor er verfassig für ne europäische Föderation vor den Nationalstaate.,10,0,3,"REF:  ***  ***  damit  ergeben  sich   die      elemente  einer  verfassung  für  eine  europäische  föderation  ***  der  nationalstaaten.
HYP:  mit  dem  ergab  er       secht  element  vor       er     verfassig   für  ne    europäische  föderation  vor  den  nationalstaate. 
TYPE: I    I    S      S        S      S        S         S      S           C    S     C            C           I    S    S               "
SG,100.0,52.5,Danach absolvierte er ebendort eine dreijährige Ausbildung zum Volksschullehrer.,Nachdem hätte Dötter er drüjährige Usbildig zum Volksschulenlehrer absolviert.,7,1,1,"REF:  *******  danach  absolvierte  er  ebendort    eine      dreijährige  ausbildung          zum          volksschullehrer.
HYP:  nachdem  hätte   dötter       er  drüjährige  usbildig  zum          volksschulenlehrer  absolviert.  *****************
TYPE: I        S       S            C   S           S         S            S                   S            D                "
ZG,100.0,11.627906976744185,"Staats-Obergymnasium unterrichtete, kennen.",Staatsopergymnasium unterrichtet Kenne.,3,0,0,"REF:  staats-obergymnasium  unterrichtete,  kennen.
HYP:  staatsopergymnasium   unterrichtet    kenne. 
TYPE: S                     S               S      "
BE,100.0,41.891891891891895,Gestern habe ich über die Bedenken hinsichtlich der Verfassung gesprochen.,Gester han Jubert Bedenke hinsichlich dafür Fasssigret.,7,3,0,"REF:  gestern  habe  ich     über     die          bedenken  hinsichtlich  der  verfassung  gesprochen.
HYP:  gester   han   jubert  bedenke  hinsichlich  dafür     fasssigret.   ***  **********  ***********
TYPE: S        S     S       S        S            S         S             D    D           D          "
ZH,100.0,41.46341463414634,Die Gleise sind teilweise noch vorhanden.,Gleis sind zum Teil nur vorHonde.,6,0,0,"REF:  die    gleise  sind  teilweise  noch  vorhanden.
HYP:  gleis  sind    zum   teil       nur   vorhonde. 
TYPE: S      S       S     S          S     S         "
VS,100.0,47.05882352941176,"Um die Abstimmung zu erleichtern, wurden diese Änderungsanträge allerdings in Blöcken zusammengefasst.",Um Dob stimme zerlechteru sind d Andrigsatreg allerdings im h Same fast orde.,11,0,1,"REF:  um  ***  die     abstimmung   zu    erleichtern,  wurden        diese       änderungsanträge  allerdings  in    blöcken  zusammengefasst.
HYP:  um  dob  stimme  zerlechteru  sind  d             andrigsatreg  allerdings  im                h           same  fast     orde.           
TYPE: C   I    S       S            S     S             S             S           S                 S           S     S        S               "
SG,100.0,48.0,Ollie kommt als Affe wieder aus dem Becken heraus.,Der Oli rummt als auf wie de RusembeKriuse.,6,2,1,"REF:  ***  ollie  kommt  als  affe  wieder  aus  dem             becken  heraus.
HYP:  der  oli    rummt  als  auf   wie     de   rusembekriuse.  ******  *******
TYPE: I    S      S      C    S     S       S    S               D       D      "
AG,100.0,66.66666666666666,Etappe trat er danach nicht mehr an.,De Etappe ist schon nach e Nummer atrate.,6,0,1,"REF:  **  etappe  trat  er     danach  nicht  mehr    an.    
HYP:  de  etappe  ist   schon  nach    e      nummer  atrate.
TYPE: I   C       S     S      S       S      S       S      "
BE,100.0,52.83018867924528,"Wir können so verfahren, wie Sie vorgeschlagen haben.",Der Ceuzauverfahren widerhält Vorkschlacke.,4,4,0,"REF:  wir  können           so         verfahren,     wie  sie  vorgeschlagen  haben.
HYP:  der  ceuzauverfahren  widerhält  vorkschlacke.  ***  ***  *************  ******
TYPE: S    S                S          S              D    D    D              D     "
SG,100.0,28.57142857142857,Gute Überwachung: Ja!,"Gutüberwachig, jo!",2,1,0,"REF:  gute            überwachung:  ja!
HYP:  gutüberwachig,  jo!           ***
TYPE: S               S             D  "
BE,100.0,43.75,Er schloss sein Studium als Diplom-Soziologe ab.,Erhit sie Studium aus Diplom Soziolog abschlossen.,7,0,0,"REF:  er     schloss  sein     studium  als     diplom-soziologe  ab.         
HYP:  erhit  sie      studium  aus      diplom  soziolog          abschlossen.
TYPE: S      S        S        S        S       S                 S           "
LU,100.0,23.809523809523807,Penda war vermutlich mehrmals verheiratet.,Pender ict vermutlich memals verheiratet xi.,4,0,1,"REF:  penda   war  vermutlich  ******  mehrmals     verheiratet.
HYP:  pender  ict  vermutlich  memals  verheiratet  xi.         
TYPE: S       S    C           I       S            S           "
AG,100.0,41.7910447761194,Aus den nominierten Beiträgen kürt die Jury sodann die Preisträger.,Us der nominierte Bitrahür Juriden Priestrager.,6,4,0,"REF:  aus  den  nominierten  beiträgen  kürt     die           jury  sodann  die  preisträger.
HYP:  us   der  nominierte   bitrahür   juriden  priestrager.  ****  ******  ***  ************
TYPE: S    S    S            S          S        S             D     D       D    D           "
BE,100.0,33.33333333333333,Sein Sohn Jacobus hat die Porträts dafür gestochen.,Seson Jacobus hät deer Portras de fur Knoche.,8,0,0,"REF:  sein   sohn     jacobus  hat   die      porträts  dafür  gestochen.
HYP:  seson  jacobus  hät      deer  portras  de        fur    knoche.   
TYPE: S      S        S        S     S        S         S      S         "
ZG,100.0,43.75,Die Schwerkraft lässt das Salz in Tanks fließen.,Schwercraft lat Salz i de Dunk Fliesse.,7,1,0,"REF:  die          schwerkraft  lässt  das  salz  in    tanks     fließen.
HYP:  schwercraft  lat          salz   i    de    dunk  fliesse.  ********
TYPE: S            S            S      S    S     S     S         D       "
BL,100.0,41.66666666666667,"Seine Nachfahren kündigten gerichtliche Schritte an, um die Umbettung zu verhindern.",Sin die Nochfahre hand es christliche schritt erkündet und unbertig zurhinder.,11,0,0,"REF:  seine  nachfahren  kündigten  gerichtliche  schritte  an,          um       die       umbettung  zu        verhindern.
HYP:  sin    die         nochfahre  hand          es        christliche  schritt  erkündet  und        unbertig  zurhinder. 
TYPE: S      S           S          S             S         S            S        S         S          S         S          "
TG,100.0,48.07692307692308,Ich bin noch mit drei weiteren Dingen einverstanden.,Mit nur drü wietere Dinge bie ni verstande.,8,0,0,"REF:  ich  bin  noch  mit      drei   weiteren  dingen  einverstanden.
HYP:  mit  nur  drü   wietere  dinge  bie       ni      verstande.    
TYPE: S    S    S     S        S      S         S       S             "
BE,100.0,48.0,Sie fehlen im Mittelmeer.,Sefala imme Tumeir.,3,1,0,"REF:  sie     fehlen  im       mittelmeer.
HYP:  sefala  imme    tumeir.  ***********
TYPE: S       S       S        D          "
ZH,100.0,37.2093023255814,In der Folge wurden die übrigen Kugeln durch die Einsatzkräfte kontrolliert gesprengt.,Wieder folg sindübrige Cugle durch d Isatz Kraft kontrolliert gesprangt worden.,11,1,0,"REF:  in      der   folge       wurden  die    übrigen  kugeln  durch  die           einsatzkräfte  kontrolliert  gesprengt.
HYP:  wieder  folg  sindübrige  cugle   durch  d        isatz   kraft  kontrolliert  gesprangt      worden.       **********
TYPE: S       S     S           S       S      S        S       S      S             S              S             D         "
AG,100.0,38.70967741935484,Die Speicherung erfolgt dabei im Shared-Memory des Webservers.,Spiechediger folgte bie im Shirt Memory vom Webserver.,8,0,0,"REF:  die           speicherung  erfolgt  dabei  im     shared-memory  des  webservers.
HYP:  spiechediger  folgte       bie      im     shirt  memory         vom  webserver. 
TYPE: S             S            S        S      S      S              S    S          "
BE,100.0,31.25,Wir stehen auch vor einer wichtigen humanitären Herausforderung.,Mistand auf forere wichtiger humanitäre Herausfortrig.,6,2,0,"REF:  wir      stehen  auch    vor        einer       wichtigen       humanitären  herausforderung.
HYP:  mistand  auf     forere  wichtiger  humanitäre  herausfortrig.  ***********  ****************
TYPE: S        S       S       S          S           S               D            D               "
AG,100.0,52.77777777777778,Isotope waren damals noch unbekannt.,Isodope sind schor damals unbekannt xe.,4,0,1,"REF:  *******  isotope  waren  damals  noch       unbekannt.
HYP:  isodope  sind     schor  damals  unbekannt  xe.       
TYPE: I        S        S      C       S          S         "
BL,100.0,34.48275862068966,Nach einigen Jahren in unteren Ligen ging es Anfang dieses Jahrhunderts wieder bergauf.,Noch einige Jahre ind unterer Liga ishes Auffang vom Jahrhundertweterbarufgange.,10,3,0,"REF:  nach  einigen  jahren  in   unteren  ligen  ging   es       anfang  dieses                       jahrhunderts  wieder  bergauf.
HYP:  noch  einige   jahre   ind  unterer  liga   ishes  auffang  vom     jahrhundertweterbarufgange.  ************  ******  ********
TYPE: S     S        S       S    S        S      S      S        S       S                            D             D       D       "
BE,100.0,49.36708860759494,"Es könnte viel schlimmer kommen, als sie sich möglicherweise vorstellen können.","Es rant Fech leben meho, aus si sach möglicher wies Reyfog deue.",10,0,1,"REF:  es  ****  könnte  viel   schlimmer  kommen,  als  sie   sich       möglicherweise  vorstellen  können.
HYP:  es  rant  fech    leben  meho,      aus      si   sach  möglicher  wies            reyfog      deue.  
TYPE: C   I     S       S      S          S        S    S     S          S               S           S      "
ZH,100.0,58.18181818181818,Dadurch verformt sich das zu bearbeitende Blech zurück.,Durch das verformt sich sblech wo man muss bearbeitet zruck.,6,0,2,"REF:  *****  dadurch  verformt  sich  ******  das  zu   bearbeitende  blech       zurück.
HYP:  durch  das      verformt  sich  sblech  wo   man  muss          bearbeitet  zruck. 
TYPE: I      S        C         C     I       S    S    S             S           S      "
BE,100.0,51.21951219512195,Die Verhandlungen laufen aber zu langsam.,Für handliger Lauf ver jetzt abers langsam.,5,0,1,"REF:  ***  die        verhandlungen  laufen  aber   zu     langsam.
HYP:  für  handliger  lauf           ver     jetzt  abers  langsam.
TYPE: I    S          S              S       S      S      C       "
AG,100.0,36.58536585365854,Allmählich verlieben sie sich ineinander.,Langsam verliebe sie sich in en and.,3,0,2,"REF:  allmählich  verlieben  sie  sich  **  **  ineinander.
HYP:  langsam     verliebe   sie  sich  in  en  and.       
TYPE: S           S          C    C     I   I   S          "
SG,100.0,55.294117647058826,"Dies war nicht der Fall für die Kontrollgruppen, die keine Fehlinformation erhielten.",Das ist fürdier kontrollgruppe wo Kaifeilinformationeüberhohend Nötte Falxi.,8,4,0,"REF:  dies  war  nicht    der             fall  für                            die    kontrollgruppen,  die  keine  fehlinformation  erhielten.
HYP:  das   ist  fürdier  kontrollgruppe  wo    kaifeilinformationeüberhohend  nötte  falxi.            ***  *****  ***************  **********
TYPE: S     S    S        S               S     S                              S      S                 D    D      D                D         "
BE,100.0,40.909090909090914,Diese Ranch war früher Drehort von Wildwest-Filmen mit John Wayne.,Die Rance is frichte Driotxe vom Wilde Weshte Film Madam John Wayne.,8,0,2,"REF:  ***  *****  diese  ranch    war      früher  drehort  von     wildwest-filmen  mit    john  wayne.
HYP:  die  rance  is     frichte  driotxe  vom     wilde    weshte  film             madam  john  wayne.
TYPE: I    I      S      S        S        S       S        S       S                S      C     C     "
BE,100.0,60.67415730337079,Daran wird sich auch mit der Annahme einiger Änderungsanträge nichts Wesentliches ändern.,O mit Drana voeinige Andriksartrag wird sich nütwessentlach stran andere.,10,2,0,"REF:  daran  wird  sich   auch      mit            der   annahme  einiger         änderungsanträge  nichts   wesentliches  ändern.
HYP:  o      mit   drana  voeinige  andriksartrag  wird  sich     nütwessentlach  stran             andere.  ************  *******
TYPE: S      S     S      S         S              S     S        S               S                 S        D             D      "
BE,100.0,41.30434782608695,"Ich habe den Eindruck, dass viele der europäischen Agenturen ein gewisses Eigenleben führen.",Jadridruck das fiw Europäische Agentures grüsse Seigelabe führe.,8,5,0,"REF:  ich         habe  den  eindruck,    dass       viele   der        europäischen  agenturen  ein  gewisses  eigenleben  führen.
HYP:  jadridruck  das   fiw  europäische  agentures  grüsse  seigelabe  führe.        *********  ***  ********  **********  *******
TYPE: S           S     S    S            S          S       S          S             D          D    D         D           D      "
SG,100.0,26.923076923076923,Mit welcher Unterstützung?,Mit Wellerau unterstütz ic?,2,0,1,"REF:  mit  ********  welcher     unterstützung?
HYP:  mit  wellerau  unterstütz  ic?           
TYPE: C    I         S           S             "
ZH,100.0,32.25806451612903,Er kreierte als erster einen pragmatisch-rationalen Kommissar.,Er hat als erste ein pragmatisch rationale Kommissar kreiert.,5,0,2,"REF:  er  kreierte  als  *****  ***  erster       einen      pragmatisch-rationalen  kommissar.
HYP:  er  hat       als  erste  ein  pragmatisch  rationale  kommissar               kreiert.  
TYPE: C   S         C    I      I    S            S          S                       S         "
BE,100.0,30.120481927710845,"Tourismus, Fischfang und Forstwirtschaft spielen eine wichtige Rolle in der Gegend.",Der Tourismus Fehfang uf orstwerkschaft spiele er wichtigi Rolle ergeigent.,8,2,1,"REF:  ***  tourismus,  fischfang  und  forstwirtschaft  spielen  eine  wichtige  rolle  in          der  gegend.
HYP:  der  tourismus   fehfang    uf   orstwerkschaft   spiele   er    wichtigi  rolle  ergeigent.  ***  *******
TYPE: I    S           S          S    S                S        S     S         C      S           D    D      "
BE,100.0,45.97701149425287,"Nina Jäckle verfasste bislang Hörspiele, Theaterstücke, Drehbücher und vor allem Prosa.","Nina Yaklehät besitz voralem Hörspiel, Theaterstück ud Deibücher, aber vorallum Prosa schriebe.",10,0,1,"REF:  nina  ********  jäckle  verfasste  bislang    hörspiele,    theaterstücke,  drehbücher  und   vor       allem  prosa.   
HYP:  nina  yaklehät  besitz  voralem    hörspiel,  theaterstück  ud              deibücher,  aber  vorallum  prosa  schriebe.
TYPE: C     I         S       S          S          S             S               S           S     S         S      S        "
BL,100.0,51.28205128205128,Es wurde auch ihr erfolgreichstes Buch.,Sicher wi das erfolgreichste Buchworde.,5,1,0,"REF:  es      wurde  auch  ihr             erfolgreichstes  buch.
HYP:  sicher  wi     das   erfolgreichste  buchworde.       *****
TYPE: S       S      S     S               S                D    "
AG,100.0,34.090909090909086,Britta Huttenlocher wuchs in Winterthur auf.,"Brita HutenLoche, ich in Winter tor ufgwahe.",5,0,1,"REF:  britta  huttenlocher  wuchs  in  ******  winterthur  auf.    
HYP:  brita   hutenloche,   ich    in  winter  tor         ufgwahe.
TYPE: S       S             S      C   I       S           S       "
AG,100.0,42.5,Die Samples wurden in der Vergangenheit von verschiedenen Kommentatoren der verschiedenen Sprachversionen eingesprochen.,Ihr Vergangenheit sind Temples for verschiedene Kommentatore wos verschiedene Sprochversionen gesprocher wurde.,12,1,0,"REF:  die  samples        wurden  in       der  vergangenheit  von           verschiedenen  kommentatoren  der              verschiedenen  sprachversionen  eingesprochen.
HYP:  ihr  vergangenheit  sind    temples  for  verschiedene   kommentatore  wos            verschiedene   sprochversionen  gesprocher     wurde.           **************
TYPE: S    S              S       S        S    S              S             S              S              S                S              S                D             "
BE,100.0,61.111111111111114,Dies ist heute jedoch nicht mehr so.,"Da si schwirt, aber ni meso.",6,1,0,"REF:  dies  ist  heute     jedoch  nicht  mehr   so.
HYP:  da    si   schwirt,  aber    ni     meso.  ***
TYPE: S     S    S         S       S      S      D  "
AG,100.0,43.93939393939394,Abermals wurden Tausende bis Zehntausende von Frauen vergewaltigt.,Abermals sind Tusiki bis za Dusiki für Fraue vergewaltigt worde.,6,0,2,"REF:  abermals  wurden  tausende  bis  **  ******  zehntausende  von    frauen        vergewaltigt.
HYP:  abermals  sind    tusiki    bis  za  dusiki  für           fraue  vergewaltigt  worde.       
TYPE: C         S       S         C    I   I       S             S      S             S            "
VS,100.0,58.82352941176471,Sie ist die Hauptkirche der Stadt.,Sistteptrecher war des Start.,4,2,0,"REF:  sie             ist  die  hauptkirche  der  stadt.
HYP:  sistteptrecher  war  des  start.       ***  ******
TYPE: S               S    S    S            D    D     "
UR,100.0,50.0,Dort wurde er nach seinem Tod bestattet.,Der Dische nach sim dot bestattet wurde.,7,0,0,"REF:  dort  wurde   er    nach  seinem  tod        bestattet.
HYP:  der   dische  nach  sim   dot     bestattet  wurde.    
TYPE: S     S       S     S     S       S          S         "
BE,100.0,41.509433962264154,Die Förderung soll in Kindertagesstätten stattfinden.,Förderixoi Hintertoggesstadt stattfinde.,3,3,0,"REF:  die         förderung          soll         in  kindertagesstätten  stattfinden.
HYP:  förderixoi  hintertoggesstadt  stattfinde.  **  ******************  ************
TYPE: S           S                  S            D   D                   D           "
BL,100.0,40.0,Eine zweite Sprengung verlief nicht erfolgreicher.,Dr zweite Sprangig ist niet erfolgreich Lofe.,5,0,1,"REF:  eine  zweite  ********  sprengung  verlief  nicht        erfolgreicher.
HYP:  dr    zweite  sprangig  ist        niet     erfolgreich  lofe.         
TYPE: S     C       I         S          S        S            S             "
ZG,100.0,39.62264150943396,Die kommunistische Geheimpolizei durchsuchte sein Elternhaus und seine Eltern wurden zu Verhören abgeholt.,Der Kommunistisch Kime Dunge durchsucht sies Elterehus und sini Altere sind zum Verörapkot wurde.,12,0,1,"REF:  ***  die            kommunistische  geheimpolizei  durchsuchte  sein  elternhaus  und  seine  eltern  wurden  zu   verhören    abgeholt.
HYP:  der  kommunistisch  kime            dunge          durchsucht   sies  elterehus   und  sini   altere  sind    zum  verörapkot  wurde.   
TYPE: I    S              S               S              S            S     S           C    S      S       S       S    S           S        "
BE,100.0,30.357142857142854,Weitere Pläne und Skizzen sind archivalisch überliefert.,Vitri Plan uscice sie archivalischüberlifert.,5,2,0,"REF:  weitere  pläne  und     skizzen  sind                     archivalisch  überliefert.
HYP:  vitri    plan   uscice  sie      archivalischüberlifert.  ************  ************
TYPE: S        S      S       S        S                        D             D           "
